2022-03-21 14:50:52.845148 D:/qm/project/github/newworld/manager/clientmanager.go	line:23:[debug  ] invalid ConnectInterval, reset to 3s
2022-03-21 14:50:52.845148 D:/qm/project/github/newworld/db/redis/redis.go	line:59:[debug  ] connect redis success
2022-03-21 14:50:52.845644 D:/qm/project/github/newworld/world.go	line:36:[debug  ] server is start
2022-03-21 14:51:07.493953 D:/qm/project/github/newworld/world.go	line:41:[release] server closing down (signal: interrupt)
2022-03-21 15:04:17.220924 D:/qm/project/github/newworld/manager/clientmanager.go	line:23:[debug  ] invalid ConnectInterval, reset to 3s
2022-03-21 15:04:17.220924 D:/qm/project/github/newworld/db/redis/redis.go	line:59:[debug  ] connect redis success
2022-03-21 15:04:17.220924 D:/qm/project/github/newworld/net/client.go	line:31:[debug  ] invalid ConnectInterval, reset to 3s
2022-03-21 15:04:19.251489 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:24.297912 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:29.335624 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:34.372804 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:39.411882 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:44.442301 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:49.475159 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:54.516989 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:04:59.560597 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:04.600867 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:09.635844 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:14.678758 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:19.722713 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:24.754686 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:29.791473 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:05:34.825633 D:/qm/project/github/newworld/net/client.go	line:47:[release] connect to 127.0.0.1:7202 error: dial tcp 127.0.0.1:7202: connectex: No connection could be made because the target machine actively refused it.
2022-03-21 15:07:59.188168 D:/qm/project/github/newworld/manager/clientmanager.go	line:23:[debug  ] invalid ConnectInterval, reset to 3s
2022-03-21 15:07:59.188168 D:/qm/project/github/newworld/db/redis/redis.go	line:59:[debug  ] connect redis success
